country_a,country_b,weight
United Kingdom,United States,36
Switzerland,WHO (multilateral),32
Switzerland,United States,28
Switzerland,United Kingdom,23
South Africa,United Kingdom,19
Germany,United Kingdom,15
Belgium,Switzerland,15
Netherlands,United Kingdom,14
South Africa,United States,14
United States,WHO (multilateral),14
Germany,Switzerland,13
Belgium,United Kingdom,13
France,United States,13
South Africa,Tanzania,13
Ghana,United Kingdom,12
India,Switzerland,12
India,United States,12
Canada,United States,12
Australia,United Kingdom,12
Belgium,United States,12
Brazil,Switzerland,12
France,United Kingdom,12
South Africa,Switzerland,12
India,United Kingdom,11
United Kingdom,WHO (multilateral),11
South Africa,WHO (multilateral),11
Spain,United Kingdom,10
Brazil,United Kingdom,10
Belgium,France,10
France,Switzerland,10
Tanzania,United Kingdom,10
France,India,9
Italy,United Kingdom,9
Netherlands,Switzerland,9
Belgium,Germany,9
Canada,Switzerland,9
France,Germany,9
United Kingdom,Zimbabwe,9
Kenya,United Kingdom,8
Australia,United States,8
South Africa,Uganda,8
Uganda,United States,8
Canada,United Kingdom,8
Kenya,South Africa,8
Kenya,United States,7
South Korea,United States,7
Germany,Netherlands,7
Germany,Spain,7
Spain,Switzerland,7
Italy,United States,7
Netherlands,United States,7
Belgium,Brazil,7
Brazil,France,7
Brazil,United States,7
Sweden,United Kingdom,7
South Africa,Zimbabwe,7
Kenya,Tanzania,7
Germany,United States,6
Netherlands,Spain,6
Belgium,Netherlands,6
Brazil,India,6
Canada,Netherlands,6
Brazil,Canada,6
Kenya,Uganda,6
India,South Korea,6
Ghana,South Africa,6
Indonesia,United States,6
WHO (multilateral),Zimbabwe,5
Thailand,United Kingdom,5
Italy,Switzerland,5
Kenya,Switzerland,5
Austria,Germany,5
Germany,Italy,5
China,United States,5
Belgium,Canada,5
Belgium,Italy,5
Belgium,Spain,5
Nigeria,United Kingdom,5
Canada,WHO (multilateral),5
Netherlands,South Africa,5
Tanzania,Uganda,5
Uganda,United Kingdom,5
Ireland,United Kingdom,5
Ireland,United States,5
Japan,South Korea,5
Singapore,United States,5
Belgium,India,5
Ghana,United States,4
South Korea,Switzerland,4
India,Saudi Arabia,4
Austria,Italy,4
Austria,Netherlands,4
Austria,United Kingdom,4
Denmark,Netherlands,4
Australia,Japan,4
Japan,United Kingdom,4
Japan,United States,4
Germany,Norway,4
Germany,Sweden,4
Spain,United States,4
South Korea,United Kingdom,4
Ghana,Switzerland,4
Ghana,WHO (multilateral),4
Indonesia,Switzerland,4
Belgium,Norway,4
France,Norway,4
Uganda,WHO (multilateral),4
Australia,Canada,4
Canada,Japan,4
Brazil,Germany,4
Canada,France,4
Canada,Germany,4
Nigeria,United States,4
Austria,Belgium,4
Switzerland,Zimbabwe,4
India,Indonesia,4
Japan,Switzerland,4
Tanzania,WHO (multilateral),4
Australia,France,3
Ethiopia,WHO (multilateral),3
Ethiopia,Zimbabwe,3
Italy,Romania,3
Germany,India,3
Senegal,United States,3
India,Malaysia,3
Austria,Switzerland,3
Denmark,Switzerland,3
Germany,Poland,3
Italy,Spain,3
Poland,Switzerland,3
Poland,United Kingdom,3
Poland,United States,3
Israel,Italy,3
Israel,United States,3
Ethiopia,Sweden,3
Brazil,WHO (multilateral),3
India,WHO (multilateral),3
France,Spain,3
Ghana,Nigeria,3
China,Germany,3
China,United Kingdom,3
Ethiopia,United States,3
Germany,Ghana,3
Indonesia,WHO (multilateral),3
Netherlands,Sweden,3
Finland,United Kingdom,3
Japan,Netherlands,3
Austria,France,3
Austria,United States,3
France,Italy,3
Norway,Switzerland,3
Norway,United Kingdom,3
Norway,United States,3
Ethiopia,Netherlands,3
Netherlands,Zimbabwe,3
Italy,Sweden,3
India,Japan,3
India,Taiwan,3
Japan,Taiwan,3
South Korea,Taiwan,3
Kenya,Netherlands,3
Indonesia,United Kingdom,3
Singapore,United Kingdom,3
Belgium,South Africa,3
Belgium,WHO (multilateral),3
France,South Africa,3
France,WHO (multilateral),3
Japan,WHO (multilateral),3
Ghana,Kenya,3
Switzerland,Uganda,3
France,Netherlands,3
Denmark,United States,3
Belgium,Japan,3
Brazil,Japan,3
China,Switzerland,3
Canada,India,3
Kenya,WHO (multilateral),3
Switzerland,Tanzania,3
Tanzania,United States,3
Australia,India,2
India,Italy,2
China,India,2
India,Russia,2
Austria,Poland,2
Denmark,Germany,2
Denmark,Spain,2
Denmark,United Kingdom,2
Italy,Netherlands,2
Italy,Poland,2
Poland,Spain,2
New Zealand,United Kingdom,2
China,South Korea,2
Canada,Israel,2
Canada,Italy,2
Ethiopia,Germany,2
Bangladesh,India,2
Egypt,Switzerland,2
Egypt,United Kingdom,2
Egypt,WHO (multilateral),2
Saudi Arabia,United States,2
Australia,Brazil,2
Brazil,South Korea,2
Brazil,Spain,2
France,South Korea,2
South Korea,Spain,2
Canada,Uganda,2
Ghana,Senegal,2
Nigeria,Senegal,2
Senegal,United Kingdom,2
China,Sweden,2
Ethiopia,United Kingdom,2
Germany,South Korea,2
Sweden,United States,2
Finland,Netherlands,2
Finland,Sweden,2
China,Japan,2
China,Singapore,2
Japan,Singapore,2
Belgium,Poland,2
France,Ireland,2
Ireland,Poland,2
Norway,Poland,2
Ethiopia,South Africa,2
Ethiopia,Switzerland,2
Netherlands,WHO (multilateral),2
United States,Zimbabwe,2
France,Sweden,2
Indonesia,Malaysia,2
Italy,Thailand,2
Ethiopia,Kenya,2
Netherlands,Tanzania,2
France,Thailand,2
India,Thailand,2
Canada,Ireland,2
Indonesia,South Korea,2
Australia,Singapore,2
Australia,Switzerland,2
Canada,Singapore,2
Singapore,Switzerland,2
Japan,Philippines,2
Philippines,South Korea,2
Philippines,WHO (multilateral),2
Germany,Luxembourg,2
Germany,WHO (multilateral),2
Ghana,Luxembourg,2
Luxembourg,Switzerland,2
Luxembourg,United Kingdom,2
Luxembourg,WHO (multilateral),2
Mexico,Switzerland,2
Ghana,Zimbabwe,2
Philippines,United Kingdom,2
Israel,United Kingdom,2
India,South Africa,2
Australia,Ireland,2
Argentina,Belgium,2
Belgium,China,2
Belgium,Sweden,2
Brazil,Netherlands,2
Canada,China,2
China,Netherlands,2
Canada,New Zealand,2
New Zealand,United States,2
Belgium,Indonesia,2
France,Tanzania,2
Turkey,United Kingdom,2
Belgium,Finland,2
India,Mexico,2
Mexico,United Kingdom,2
Saudi Arabia,United Kingdom,2
Tanzania,Zimbabwe,2
Australia,Pakistan,1
Germany,Philippines,1
India,Philippines,1
Philippines,United States,1
Kenya,Senegal,1
Kenya,South Korea,1
Senegal,South Korea,1
Senegal,Switzerland,1
