title,year,authors,journal,doi,pmid,source,source_detail,abstract,keywords,access_lens,citations,norm
WHO collaborative registration procedure using stringent regulatory authorities' medicine evaluation  reliance in action,2022,"I Produktow Biobojczych, Warszawa, Poland",Expert review of clinical pharmacology,10.1080/17512433.2022.2037419,35130803,local|europepmc,lib1_文献,"Introduction: The regulatory approval of medical products in countries with limited regulatory resources can be lengthy, which often compromises patients’ timely access to much-needed medicines. To improve the efficiency of regulatory systems, reliance is being used. Reliance allows an authority to leverage the work performed by other authorities, such as scientific evaluations, to decide on medical products approval within their jurisdiction. This reduces duplication of regulatory efforts, resources and time, while maintaining national sovereignty. Areas covered: This article analyzes the outcomes and stakeholders’ experience of using medicines assessments performed by Stringent Regulatory Authorities (SRA) in the Collaborative Registration Procedures (CRP). Since its establishment in 2015, 59 approvals were granted to 16 medicines in 23 countries through SRA CRP. Results show that the procedure is delivering on the intended benefits of access and speed, with long-term positive impact for resource-limited countries. The article concludes with recommendations on the need for guidance on management of post-approval changes, wider promotion of the procedure, and increased collaboration between authorities. Expert opinion: The SRA CRP provides a mechanism for the use of reliance by strengthening commu­ nication and promoting the exchange of information among regulators. This fosters faster regulatory approvals and, consequently, earlier access to medicines. ARTICLE HISTORY Received 2 October 2021 Accepted 24 January 2022",International collaboration; Who; Medicines; Global Health; Regulatory Authorities; Marketing Authorization; Patient Access; Reliance,1,31,who collaborative registration procedure using stringent regulatory authorities medicine evaluation reliance in action
WHO原料药预认证项目,2014,,,,,local,lib1_文献,目的帮助国内原料药厂g-了解并通过WHO顸认证项目。方法全面论述W HO 原料药预认证项 目的背景、申请流程、文件要求和意义。结果与结论通过加深对W HO 原料药预认证项目的认识，可以 提高生产厂家参与W HO 原料药预认证的积极性，增强通过预认证的信心。,,0,,who原料药预认证项目
WHO监管评估体系概况及对我国药品监管国际化的思考,,,,,,local,lib1_文献,,,0,,who监管评估体系概况及对我国药品监管国际化的思考
WHO药品预认证项目为我国药品生产企业的国际化开辟道路,2014,"y,Shenyang 110016)",,,,local,lib1_文献,选自WHO基本药物示范目录和需求地区的疾病治疗指南。申请参与WHO PQ包括申请提出、资料评审、现场检查等5 个环节。目前我国药品生产企业通过WHO PQ的数量比较少，主要有以下4方面原因：国内外标准的差异，对项目的要 求和流程认识不足，企业生产品种与项目需求品种不相符以及企业员工英语沟通和表达能力弱。但是，当前国内外政策 环境会激发我国药品生产企业申请WHO PQ的积极性和潜能。经综合分析项目的局限性和对申请企业的利好，本文认为 WHOPQ项目是我国制药企业国际化的一条有效途径。对于着手申请的企业，建议要充分调研国际市场和潜在的竞争对手， 尤其要关注原料药的稳定供应和生物等效性试验用参比制剂的可获得性。,,0,,who药品预认证项目为我国药品生产企业的国际化开辟道路
世界卫生组织化学药品资格预审分析与探讨,2025,徐长波，周萌萌，翟铁伟,,10.16153/j.1002-7777.2024-12-0025,,local,lib1_文献,目的：进一步加强我国化学药品生产企业对世界卫生组织（WHO）检查的理解，促进药品生 产质量管理水平提升。方法：对WHO资格预审进行介绍，对WHO资格预审清单和WHO对我国化 学药品生产企业检查情况及缺陷进行统计分析。结果及结论：WHO资格预审旨在使世界上每个人都能 获得安全、有效和质量可靠的药品，我国化学原料药和制剂通过WHO资格预审的数量均能位列前三。 WHO检查以申报的产品为核心，覆盖GMP各要素，2023年WHO对我国药品企业的检查均为常规检查， 共提出206项缺陷，平均每次检查提出缺陷约17项，无严重缺陷，高频缺陷主要分布于质量控制和质 量保证、确认和验证、文件管理等方面，对照WHO药品检查的情况，建议药品生产企业结合自身产 品及实际情况，持续提升生产质量管理水平。,,0,,世界卫生组织化学药品资格预审分析与探讨
基于世界卫生组织认证分析我国医药行业国际化的机遇与挑战,2021,戚淑叶，许明哲,,10.16153/j.l,,local,lib1_文献,"证(the World Health Organization Prequalification, WHO PQ )情况进行梳理和分析，为我国医药行业国 际化发展提供启示和建议C方法：通过文献收集和数据查询，描述性分析了我国化学药品(原料药和制 剂)、生物制品(疫苗和体外诊断试剂)WHOPQ的背景、现状和积累的相关经验，并以此讨论我国医 药行业国际化进程中面临的机遇与挑战，提出应对途径。结果与结论：对于化学药品而言，中国制剂认 证远落后于原料药，应克服其质量准入门槛高、自主创新能力不足等问题。疫苗和体外诊断试剂认证数 量少，与企业国际化经验少、资本不集中、缺乏具有国际竞争力产品有关。建议我国医药行业充分吸收 印度成功经验，重创新、重人才；发挥中国药检体制优势，由上而下提升药品检验检测能力和质量管理 水平；了解WHO采购项目的需求品种，具有优势企业应主动争取WHO技术帮扶；消化本土企业认证经 验，因地制宜，加快医药产品国际化进程。",,0,,基于世界卫生组织认证分析我国医药行业国际化的机遇与挑战
复方青蒿素的国际化之路及其启示 (1),2025,,,10.12014/j.issn.1002-0772.2025.11.13,,local,lib1_文献,与推广对防控全球疟疾，构建人类卫生健康共同体具有重要的推动作用。尽管复方青蒿素对治疗疟疾有明确疗效，但是它进 入国际市场参与国际抗疟并非一路坦途。复方青蒿素的国际化经历了利用“转译”推动复方蒿甲醚的国际认证、征募行动 者加快青蒿素类抗疟药的自主研发、践行正确义利观扩展青蒿素抗疟的这三个阶段。这一过程不仅让中国自主研发的复方 青蒿素转变成一种国际认可的抗疟药，而且为我国新药进入国际市场提供了具有实践指导意义的启示。,,0,,复方青蒿素的国际化之路及其启示 1
药品国际监管协调的发展现状研究与思考,,,,,,local,lib1_文献,,,0,,药品国际监管协调的发展现状研究与思考
解读世界卫生组织药品预认证项目,2014,,,,,local,lib1_文献,,,0,,解读世界卫生组织药品预认证项目
2012年医药外贸的变与不变-李辉,2012,,,,,local,lib2_许铭论文,,,0,,2012年医药外贸的变与不变 李辉
A new phase of China-ASEAN health cooperation the China-ASEAN Beijing Declaration on Cooperation in Innovation of Health Products and Technologies,,,,,,local,lib2_许铭论文,,,0,,a new phase of china asean health cooperation the china asean beijing declaration on cooperation in innovation of health products and technologies
Evolution and effectiveness of bilateral and multilateral development assistance for health,,,,,,local,lib2_许铭论文,,,0,,evolution and effectiveness of bilateral and multilateral development assistance for health
Evolving market-shaping strategies to boost access to essential medical products in developing countries with HIV self-testing as a case study,,,,,,local,lib2_许铭论文,,,1,,evolving market shaping strategies to boost access to essential medical products in developing countries with hiv self testing as a case study
Factors associated with the export of traditional,,,,,,local,lib2_许铭论文,,,0,,factors associated with the export of traditional
Factors associated with the utilization of diagnostic tools among countries with different income levels during the COVID-19 pandemic,,,,,,local,lib2_许铭论文,,,0,,factors associated with the utilization of diagnostic tools among countries with different income levels during the covid 19 pandemic
Industry Perceptions and Experiences with the Access Consortium New Active Substance Work-Sharing Initiative (NASWSI)  Survey Results and Recommendations,,,,,,local,lib2_许铭论文,,,0,,industry perceptions and experiences with the access consortium new active substance work sharing initiative naswsi survey results and recommendations
N10外刊全文 2026 1462-8902 28 2 81537052,2026,,,,,local,lib2_许铭论文,,,0,,n10外刊全文 2026 1462 8902 28 2 81537052
N1 Enhancing innovative financing,,,,,,local,lib2_许铭论文,,,0,,n1 enhancing innovative financing
N2 Evaluation WHO integration,,,,,,local,lib2_许铭论文,,,0,,n2 evaluation who integration
N3 Access antimalarial AsiaPacific,,,,,,local,lib2_许铭论文,,,0,,n3 access antimalarial asiapacific
N4jogh-16-04145n,,,,,,local,lib2_许铭论文,,,0,,n4jogh 16 04145n
N5 CHIKV modeling,,,,,,local,lib2_许铭论文,,,0,,n5 chikv modeling
N5s12889-026-28110-9 reference,,,,,,local,lib2_许铭论文,,,0,,n5s12889 026 28110 9 reference
N6中刊全文 2026 R1 93174A 058 003 7203755179,2026,,,,,local,lib2_许铭论文,,,0,,n6中刊全文 2026 r1 93174a 058 003 7203755179
N7resource 2026 07 18 1784350246821,2026,,,,,local,lib2_许铭论文,,,0,,n7resource 2026 07 18 1784350246821
N8 Volume based procurement TB,,,,,,local,lib2_许铭论文,,,0,,n8 volume based procurement tb
N9 Influenza seasonality,,,,,,local,lib2_许铭论文,,,0,,n9 influenza seasonality
"Redefining Debt-to-Health, a triple-win health financing instrument in global health",,,,,,local,lib2_许铭论文,,,0,,redefining debt to health a triple win health financing instrument in global health
Regulatory reliance for convergence and harmonisation in the medical device space in Asia-Pacific,,,,,,local,lib2_许铭论文,,,0,,regulatory reliance for convergence and harmonisation in the medical device space in asia pacific
Rethinking international financing for health to better respond to future pandemics,,,,,,local,lib2_许铭论文,,,0,,rethinking international financing for health to better respond to future pandemics
Seasonal malaria chemoprevention in Africa and China’s upgraded role as a contributor,,,,,,local,lib2_许铭论文,,,0,,seasonal malaria chemoprevention in africa and china s upgraded role as a contributor
The global regulatory landscape for combined vaccines,,,,,,local,lib2_许铭论文,,,0,,the global regulatory landscape for combined vaccines
The priority areas and possible pathways for health cooperation in BRICS countries,,,,,,local,lib2_许铭论文,,,0,,the priority areas and possible pathways for health cooperation in brics countries
efpia-positionpaper-on-who-asean-joint-assessment,,,,,,local,lib2_许铭论文,,,0,,efpia positionpaper on who asean joint assessment
中国抗疟产品的可持续发展路径-黄旸木,,,,,,local,lib2_许铭论文,,,0,,中国抗疟产品的可持续发展路径 黄旸木
中国生物医药企业对外授权交易 许铭2026,2026,,,,,local,lib2_许铭论文,,,0,,中国生物医药企业对外授权交易 许铭2026
中国生物医药企业对外授权交易的演变趋势与相关因素分析 NormalPdf(2),,,,,,local,lib2_许铭论文,,,0,,中国生物医药企业对外授权交易的演变趋势与相关因素分析 normalpdf 2
中药开拓欧洲市场机遇与困难同在-许铭,,,,,,local,lib2_许铭论文,,,0,,中药开拓欧洲市场机遇与困难同在 许铭
以艾滋病毒自我检测为例，不断发展市场塑造战略，以促进发展中国家获得基本医疗产品的机会,,,,,,local,lib2_许铭论文,,,0,,以艾滋病毒自我检测为例 不断发展市场塑造战略 以促进发展中国家获得基本医疗产品的机会
协和硕士-世界卫生组织在华合作中心参与全球卫生治理评价指标体系研究-杜海平,,,,,,local,lib2_许铭论文,,,0,,协和硕士 世界卫生组织在华合作中心参与全球卫生治理评价指标体系研究 杜海平
协和硕士-中美在妇幼健康领域对东盟国家合作比较研究-谭翔彬,,,,,,local,lib2_许铭论文,,,0,,协和硕士 中美在妇幼健康领域对东盟国家合作比较研究 谭翔彬
国际化发展视角下中印传统医学对比研究-陈莹,,,,,,local,lib2_许铭论文,,,0,,国际化发展视角下中印传统医学对比研究 陈莹
基于全球治理五要素理论的WHO公共卫生产品治理机制分析-杨坚,,,,,,local,lib2_许铭论文,,,0,,基于全球治理五要素理论的who公共卫生产品治理机制分析 杨坚
基于全生命周期维度的全球卫生公共产品可及性研究-冯香凝,,,,,,local,lib2_许铭论文,,,0,,基于全生命周期维度的全球卫生公共产品可及性研究 冯香凝
对非医疗合作与援助 挑战及建议-许铭,,,,,,local,lib2_许铭论文,,,0,,对非医疗合作与援助 挑战及建议 许铭
市场塑造策略在全球公共卫生产品供应治理中的应用及其对中国的启示-杨坚,,,,,,local,lib2_许铭论文,,,0,,市场塑造策略在全球公共卫生产品供应治理中的应用及其对中国的启示 杨坚
我国医药企业国际化路径分析-许铭,,,,,,local,lib2_许铭论文,,,0,,我国医药企业国际化路径分析 许铭
抗击艾滋病、结核病和疟疾全球基金在全球卫生发展中的作用及与中国的合作-许铭,,,,,,local,lib2_许铭论文,,,0,,抗击艾滋病 结核病和疟疾全球基金在全球卫生发展中的作用及与中国的合作 许铭
新格局下全球卫生治理及对中国的路径建议-周书铎,,,,,,local,lib2_许铭论文,,,0,,新格局下全球卫生治理及对中国的路径建议 周书铎
非洲季节性疟疾化学预防和中国作为贡献者角色的升级：范围界定审查,,,,,,local,lib2_许铭论文,,,0,,非洲季节性疟疾化学预防和中国作为贡献者角色的升级 范围界定审查
Progress and Market Development of Biotechnology in Saudi Arabia: A Survey :,2026,Asma Alyaemni; Nouf Alghamdi,Galen medical journal,10.31661/gmj.vi.3964,42038841,pubmed|europepmc,PubMed/MEDLINE,"Biotechnology is a transformative field with applications in healthcare, agriculture, and industry. Saudi Arabia has prioritized biotechnology under Vision 2030, aiming to diversify its economy and establish itself as a regional biotech hub. Initiatives like the Saudi Genome Program and regulatory reforms by the SFDA highlight progress, yet challenges such as workforce shortages, import dependency, and ethical concerns persist. This study examines the perceptions of biotechnology professionals in Saudi Arabia regarding sectoral progress, regulatory efficiency, and market opportunities, focusing on genetic research, precision medicine, and industrial biotechnology under Vision 2030. A descriptive-analytical design was employed, targeting 150 biotechnology researchers, industry professionals, and policymakers via purposive sampling. Data were collected through a validated Likert-scale questionnaire assessing regulatory adequacy, collaboration, local manufacturing, and import challenges. Quantitative analysis was performed using SPSS v20.0. While 40% agreed that SFDA regulations support genetic testing growth, 35.3% reported insufficient academia-industry-government collaboration. Optimism was high for local manufacturing (76.7%) and Saudi Arabia's potential as a regional biotech hub (83.4%). However, 67.3% faced import barriers, and 87.3% noted delays hindering research. Genetic data privacy concerned 55.3%, while 90.7% endorsed global partnerships for innovation. Saudi Arabia's biotechnology sector shows promise under Vision 2030, with strong potential in local manufacturing and regional leadership. However, regulatory harmonization, enhanced collaboration, and infrastructure investment are critical to overcoming import dependencies and workforce gaps. Strategic policy interventions are recommended to sustain growth and innovation.",Agricultural Biotechnology; Biotechnology; Healthcare Biotechnology; Industrial Biotechnology; Innovation; Regulatory Reforms; Saudi Arabia; Vision 2030,0,,progress and market development of biotechnology in saudi arabia a survey
Implementing a Hybrid Digital-Physical Health Dialogue Model in a Rural Japanese Community: A Technical Report.,2026,Ryuichi Ohta; Toshihiro Yakabe,Cureus,10.7759/cureus.100393,41625936,pubmed|europepmc,PubMed/MEDLINE,"Rural communities often face structural and psychological barriers to healthcare access, particularly among older and socially isolated populations. Conventional clinic-based services may not adequately address early, ambiguous health concerns or facilitate low-threshold help-seeking. This technical report describes the implementation of a hybrid digital-physical health dialogue model designed to enhance accessibility, trust, and sustained engagement in a rural Japanese community. The intervention integrated an anonymous, free health consultation service delivered via the LINE messaging platform (LINE Corporation, Tokyo, Japan) with face-to-face dialogue sessions conducted at local community centers. Healthcare professionals and a community-based organization collaboratively facilitated both components. Rather than evaluating effectiveness, this report focuses on the implementation process and on observational insights from routine operations, including staff field notes, informal debriefings, and participant feedback. The digital consultation service served as a low-threshold entry point, enabling residents to raise health-related concerns early. Over time, some participants transitioned from online consultations to in-person dialogues, which may indicate gradual trust-building and increased confidence in engagement. Face-to-face sessions appeared to foster mutual recognition, peer support, and a shared understanding of community health concerns. Healthcare professionals reported enhanced contextual awareness of residents' lived experiences. Key challenges included digital exclusion among some older adults, reliance on voluntary human resources, and the absence of formal outcome evaluation. The hybrid digital-physical health dialogue model demonstrates practical feasibility as an implementation approach to support accessible and relational health dialogue in a rural setting. While not an effectiveness study, the findings provide transferable insights for designing community-based, low-threshold health dialogue initiatives that balance accessibility, trust, and sustainability in resource-limited contexts.",community health services; health communication; patient participation; program evaluation; rural health; telemedicine,1,1,implementing a hybrid digital physical health dialogue model in a rural japanese community a technical report
Evidence-based production framework for herbal medicine regulation in Indonesia.,2026,Mohamad Kashuri; Taruna Ikrar; Sutriyo; Abdul Mun'im; Arry Yanuar,Frontiers in pharmacology,10.3389/fphar.2025.1730273,41552826,pubmed|europepmc,PubMed/MEDLINE,"This narrative review synthesizes 2015-2025 evidence on evidence-based production (EBP) of herbal medicines with emphasis on advanced production technologies, omics-enabled authentication, quality by design (QbD), and regulatory harmonization relevant to Indonesia. We map how ",ASEAN harmonization; evidence-based production; herbal medicine regulation; omics authentication; pharmacovigilance; quality by design; regulatory science,0,8,evidence based production framework for herbal medicine regulation in indonesia
Nanodevice Approaches for Detecting Micro- and Nanoplastics in Complex Matrices.,2026,Rita Paola Debri; Fabrizia Sepe; Silvia Romano; Nicolantonio D'Orazio; Antonino De Lorenzo; Anna Calarco; Raffaele Conte; Gianfranco Peluso,"Nanomaterials (Basel, Switzerland)",10.3390/nano16010055,41511251,pubmed|europepmc,PubMed/MEDLINE,"Micro- and nanoplastics (MNPs) are increasingly recognized as pervasive environmental contaminants with profound implications for ecosystems and human health. Their small size, compositional diversity, and occurrence across complex matrices-including water, soil, food, and biological samples-pose substantial analytical challenges. Conventional techniques such as vibrational spectroscopy, chromatographic analysis, and electron microscopy have yielded critical insights into MNP composition, morphology, and distribution; however, these methods often face limitations in sensitivity, throughput, and adaptability to real-world samples. Recent advances in nanotechnology have catalyzed the emergence of nanodevices-encompassing nanosensors, nanopore systems, integrated lab-on-a-chip platforms and nanostructured capture materials-that promise enhanced sensitivity, specificity, and the capacity for real-time, in situ detection. These innovations not only facilitate high-throughput analysis but also provide novel opportunities for integrated characterization of MNPs across diverse matrices. This review synthesizes the current state of nanodevice-based MNP detection, critically examining their principles, performance, and limitations relative to conventional approaches, and outlining the key needs for standardization, matrix-specific adaptation, and regulatory harmonization.",biosensors; environmental monitoring; lab-on-a-chip; microfluidics; microplastics; nanodevices; nanoplastics; nanopore,0,2,nanodevice approaches for detecting micro and nanoplastics in complex matrices
"[Emergency authorization of vaccines in countries of the Americas, August 2024Autorização de vacinas em situações de emergência nos países da Região das Américas, agosto de 2024].",2025,María Luz Pombo; María Teresa Ibarz; Alexandra Mata; Danini Marin,Revista panamericana de salud publica = Pan American journal of public health,10.26633/RPSP.2025.129,41473890,pubmed|europepmc,PubMed/MEDLINE,"To evaluate the post-pandemic regulatory preparedness of countries of the Region of the Americas for emergency authorization of vaccines as of August 2024 and propose recommendations for future public health emergencies. Special report describing the mechanisms for emergency use authorization of vaccines established in the regulatory frameworks of Latin American and English-speaking Caribbean countries. Most of the countries (64%) included in this analysis did not make any changes in their regulations for emergency situations following the COVID-19 pandemic. Special import permits constitute the most common established mechanism for emergency authorization (82%). Regulatory reliance-based mechanisms were found in a minority of countries (32%), as were emergency use authorization, provisional marketing authorization, or fast-track registration mechanisms (23%). Only reliance-based mechanisms were found to use risk criteria based on the source from which vaccines were obtained. This analysis reflects the need to strengthen the Region's regulatory systems to address future public health emergencies and facilitate access to necessary vaccines. Furthermore, regulatory systems should adopt a regulatory approach based on risk criteria, with distinct procedures and requirements, as well as strengthen cooperation with other National Regulatory Authorities (NRAs) at the regional and global levels, to achieve greater regulatory efficiency. Evaluar la preparación regulatoria pospandémica en países de la Región de las Américas, para la autorización de vacunas en situaciones de emergencia de salud pública hasta agosto 2024 y proponer recomendaciones para futuras situaciones de emergencia sanitaria. Informe especial que describe los mecanismos de autorización de las vacunas en situaciones de emergencia de salud pública establecidos en la regulación de países de Latinoamérica y el Caribe anglófono. La mayoría de los países (64%) considerados en este análisis no efectuó cambios en su regulación para situaciones de emergencia, posterior a la pandemia de COVID-19. El mecanismo de autorización más frecuente establecido son los permisos especiales de importación (82%). La autorización por reconocimiento de las decisiones de instituciones reconocidas ( Este análisis refleja la necesidad de fortalecer los sistemas regulatorios de la Región para hacer frente a futuras situaciones de emergencia de salud pública, y favorecer el acceso a las vacunas requeridas; además, se debe con sistemas regulatorios que adopten un enfoque normativo basado en criterios de riesgo, con procedimientos y requisitos diferenciados, fortaleciendo la colaboración con otras autoridades regulatorias nacionales (ARN) en el ámbito regional y global, para lograr una mayor eficiencia regulatoria. Avaliar o nível de preparação regulatória pós-pandemia nos países da Região das Américas quanto ao processo de autorização de vacinas em situações de emergência de saúde pública até agosto de 2024 e propor recomendações para futuras emergências de saúde. Relatório especial que descreve os mecanismos estabelecidos na legislação de países da América Latina e do Caribe anglófono para autorizar o uso de vacinas durante emergências de saúde pública. A maioria dos países (64%) considerados nesta análise não efetuou alterações em sua legislação para situações de emergência após a pandemia de COVID-19. O mecanismo de autorização mais frequentemente estabelecido é a autorização de importação em caráter excepcional (82%). Uma minoria dos países (32%) previa autorização por reconhecimento das decisões de instituições reconhecidas (confiança regulatória), e 23% dispunham de mecanismos de autorização para uso emergencial ou registro sanitário provisório ou abreviado. A aplicação de critérios de risco com base na fonte de aquisição só pôde ser comprovada para autorizações por confiança regulatória ( Esta análise reflete a necessidade de fortalecer os sistemas regulatórios da Região para enfrentar futuras situações de emergência de saúde pública e favorecer o acesso às vacinas necessárias. Além disso, é necessário contar com sistemas regulatórios que adotem uma abordagem normativa baseada em critérios de risco, com procedimentos e requisitos diferenciados, fortalecendo a colaboração com outras autoridades reguladoras nacionais no âmbito regional e mundial para alcançar maior eficiência regulatória.",Drug and narcotic control; Latin America; disaster emergencies; health authorities; health surveillance services; vaccines,0,,emergency authorization of vaccines in countries of the americas august 2024autoriza o de vacinas em situa es de emerg ncia nos pa ses da regi o das am ricas agosto de 2024
Protocol for a cervical screening implementation trial comparing two approaches for delivering HPV self-collection in low-resource settings in India: a type 3 hybrid cluster randomised controlled trial (SHE-CAN).,2025,Anu Mary Oommen; Maleeha Ashfaq; Mary Vanlalhruaii Tonsing; Anne George Cherian; Pravin Singarayar; Vidhya Viswanathan; Venugopal Muniswamy; David Hawkes; Priya Abraham; Ruby Angeline Pricilla; Ravikumar Manoharan; Eric Zomawia; Brian Oldenburg; Marion Saville; K Krishnaraj; Selvavinayagam T S; Partha Basu; Julia Ml Brotherton; SHE-CAN collaborators,BMJ open,10.1136/bmjopen-2025-101599,41469068,pubmed|europepmc,PubMed/MEDLINE,"Although multiple studies have offered self-collection for human papillomavirus (HPV)-based cervical screening in community settings, there are no randomised controlled trials (RCTs) that have compared implementation outcomes of programme approaches for self-collection. This trial will compare two such approaches in low-resource settings in the states of Tamil Nadu and Mizoram, India. A cluster RCT will be conducted over a year, offering self-collection to 3000 women aged 30-49 from 28 clusters (average size 101) in selected districts. Clusters in tribal, rural and urban low-income settings will be randomised to two arms. The intervention arm, co-designed with multiple stakeholders, will involve campaigns to offer self-collection in the community. The comparison arm will be offered self-collection at the nearest health facilities.HPV-based cervical screening will be performed at central laboratories using clinically validated screening assays that can identify the highest risk carcinogenic HPV types (Group 1a-c - HPV16/18/31/33/45/52/58, ±35). Ablative treatment will be based on positivity with this extended genotyping triage, while those with any of the lower carcinogenic HPV types (Group 1d - 39, 51, 56, 59, ±35, Groups 2a/b - 66, 68) will undergo further assessment with visual inspection with acetic acid. Outcomes will be evaluated quantitatively and qualitatively using RE-AIM and the Theoretical Framework of Acceptability. The primary outcome will be percentage of women well-managed (screened and appropriately treated) in both arms, with secondary outcomes including proportion screened, proportion treated, acceptability (willingness to screen, rescreen, and/or recommend to others) to women, community and healthcare providers, adoption (by providers), implementation fidelity, costs, sustainability assessment and systematically identified implementation barriers and facilitators. The reach, effectiveness and acceptability of community-based self-collection and the use of extended genotyping for triage in resource-constrained, hard-to-reach populations will be assessed, with lessons that can inform future statewide and national programmes. Ethics approval has been obtained from the Institutional Review Board (IRB) and Ethics Committee of the Christian Medical College Vellore, Tamil Nadu, India (IRB Min. No 14314; INTERVEN), the Alfred Hospital Ethics Committee (HREC Ref 80134, Local Reference: project 601/21), Melbourne, Australia, the IARC Ethics Committee (IEC 21-32), Lyon, France, the Salem Polyclinic Institutional Ethics Committee (SPCIEC/2022/June/01/02), Tamil Nadu, India and the Institutional Ethics Committee, Civil Hospital, Aizawl, Mizoram, India (No.B.12018/1/13-CHA(A)/IEC/115). The study is also approved by the State Scientific Advisory Committee, Directorate of Public Health and Preventive Medicine, Chennai, Tamil Nadu (R. No. 011575/HEB/A2/2023). The Alfred Hospital Approval, as an authorised Australian ethics committee for national mutual recognition, is recognised and registered with the University of Melbourne Human Research Ethics Committee (2024-25255-57650-1). Written informed consent will be obtained from participants. The results of the trial will be disseminated through a peer-reviewed medical journal, and also through workshops, reports and conferences. The trial has been registered with the Clinical Trials Registry - India: CTRI/2022/04/042327.",Human Papillomavirus Viruses; Implementation Science; PUBLIC HEALTH,1,,protocol for a cervical screening implementation trial comparing two approaches for delivering hpv self collection in low resource settings in india a type 3 hybrid cluster randomised controlled trial she can
Coumarins and the science of timeless beauty: A natural anti-skin aging solution.,2026,Yasser Fakri Mustafa,Fitoterapia,10.1016/j.fitote.2025.107053,41443514,pubmed|europepmc,PubMed/MEDLINE,"Coumarins, naturally occurring benzopyrone derivatives, have long been valued in traditional medicine, fragrance industries, and therapeutics. Recent interest has surged around their anti-aging properties, particularly in skincare, due to their antioxidant, anti-inflammatory, and photoprotective effects. This review explores the role of coumarins as promising agents in combating skin aging, offering a natural alternative to synthetic cosmetics and contributing to the development of safe, effective anti-aging products. An integrative analysis of historical, biochemical, pharmacological, and cosmetic perspectives was conducted, supported by traditional medicine records, modern preclinical studies, bioinformatics predictions, and formulation case studies. Emphasis was placed on coumarins' mechanisms of action, extraction methods, safety profiles, and their application in skincare formulations. Coumarins act through both direct and indirect antioxidant mechanisms, targeting pathways involved in oxidative stress, inflammation, collagen degradation, and skin barrier dysfunction. Studies show that certain derivatives can inhibit MMPs and modulate sirtuin and AMPK pathways, mechanisms vital in anti-aging interventions. Traditional medicine has long leveraged coumarin-rich herbs to treat dermatological, circulatory, and neurodegenerative conditions. Case studies confirmed favorable cosmetic properties in formulations containing coumarins and hyaluronic acid. Comparative analysis with existing anti-aging ingredients revealed that coumarins provide multi-targeted, dermo-compatible action with fewer adverse effects. Despite regulatory constraints, coumarins remain widely used in skincare and perfumes, with growing interest in sustainable sourcing and green synthesis. Coumarins represent a scientifically grounded, culturally enriched, and biologically potent class of compounds that align with modern demands for natural and effective anti-aging solutions. Their multifunctionality, favorable safety profile, and dermo-pharmacological compatibility support their potential as key agents in next-generation beauty products. Further interdisciplinary research and regulatory harmonization are essential for optimizing their use in cosmetic and therapeutic contexts.",Anti-aging; Antioxidant activity; Cosmeceuticals; Coumarins; Natural cosmetics; Photoprotection; Skin health,0,3,coumarins and the science of timeless beauty a natural anti skin aging solution
