journal,articles
Therapeutic innovation & regulatory science,16
Vaccine,14
Frontiers in medicine,11
BMJ global health,9
PloS one,8
Revista panamericana de salud publica = Pan American journal of public health,5
Food and drug law journal,5
The Lancet. Global health,4
Pharmaceutical medicine,4
PLOS global public health,4
Malaria journal,4
The Lancet. Infectious diseases,4
Vaccine: X,4
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,4
Clinical cancer research : an official journal of the American Association for Cancer Research,4
